id,name,ministry,category,age_min,age_max,benefit,eligibility_text,documents,last_date,url,gender
HO01,Pradhan Mantri Ujjwala Yojana,"Ministry of Petroleum and Natural Gas (MOPNG), introduced the ‘Pradhan Mantri Ujjwala Yojana’ (PMUY)",Housing,0,120,A scheme by Ministry of Petroleum and Natural Gas for Providing free LPG connections to women belonging to the Below Poverty Line (BPL) households.,"EligibilityAn adult woman belonging to a poor household and not having an LPG connection in her household will be eligible under UJJWALA 2.0. The beneficiaries should belong to any of the following categories:Eligible as per SECC 2011 listBelongs to SC/ST households, be a beneficiary of Pradhan Mantri Awas Yojana (PMAY), Antyodaya Anna Yojana (AAY), Forest dwellers, Most Backward Classes (MBC), Tea and Ex-Tea Garden Tribes, People residing in river islands (Beneficiary will submit supporting doc",Valid Photo ID | Ration Card issued by the State from which application is being made/ other State Govt. document certifying family composition/ Self-Declaration as per Annexure I (for migrant applicants) | Proof of Address - Aadhaar will be taken as Proof of Identity and Proof of Address if the connection is required in the same address. In that case only Aadhaar is sufficient. | Bank Account Number and IFSC. | Aadhaar (not mandatory for Assam and Meghalaya) | Passport size photograph,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pmuy,any
HO02,Pradhan Mantri Awas Yojana - Urban,Ministry of Electronics & IT () Government of India,Housing,0,120,"A flagship mission implemented by MoHUA, addressing urban housing shortage. The beneficiaries include Economically Weaker Section (EWS) / Low Income Group (LIG) and Middle Income Group (MIG) categories, including slum dwellers, by ensuring a pucca house to all eligible urban households by 2022.","Eligibility1. The family identifies as one of the following -a) Economically Weaker Section (EWS): households with annual income up to ₹ 3,00,000.b) Low Income Group (LIG): households with annual income between ₹ 3,00,001 and ₹ 6,00,000.c) Middle Income Group-1 (MIG-1): households with annual income between ₹ 6,00,001 and ₹ 12,00,000.d) Middle Income Group-2 (MIG-2): households with annual income between ₹ 12,00,001 and ₹ 18,00,000.2. The applicant or his/her family members must not be owning a ","Aadhaar Number (or Aadhaar/ Aadhaar Enrolment ID) | Self-Certificate / Affidavit as Proof of Income. | Identity and Residential Proof (PAN card, Voter ID, Driving License) | Proof of Minority Community (if the applicant belongs to a Minority Community) | Proof of Nationality | EWS Certificate / LIG Certificate / MIG Certificate (as applicable)",Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pmay-u,any
SO01,PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi),Ministry of Housing and Urban Affairs (MoHUA) to provide handholding support to street vendors. The,Social Security,0,120,"PM SVANidhi is a micro-credit scheme launched on 1st June 2020 by the MoHUA to provide handholding support to street vendors. The scheme facilitates a working capital collateral-free loan of ₹10,000, with subsequent loans of ₹20,000 and ₹50,000 with a 7% interest subsidy.","EligibilityStreet vendors in possession of Certificate of Vending / Identity Card issued by Urban Local Bodies (ULBs).The vendors, who have been identified in the survey but have not been issued Certificate of Vending / Identity Card.Street Vendors left out of the ULB-led identification survey or who have started vending after completion of the survey and have been issued a Letter of Recommendation (LoR) to that effect by the ULB / Town Vending Committee (TVC).The vendors of surrounding developm",Certificate of Vending | Identity Card | Letter of Recommendation | Aadhaar Card | Voter Identity Card | Driving License,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pm-svanidhi,any
SO02,Indira Gandhi National Widow Pension Scheme,"Ministry of Rural Development, Government of India. It is a non-contributory pension scheme to provi",Social Security,40,79,A non-contributory pension scheme to provide social security to widows of poor family (BPL) of the society.,EligibilityThe eligibility criteria under Indira Gandhi National Widow Pension Scheme (IGNWPS) is:The applicant must be a widow in the age group of 40-79 years.The applicant should belong to a household living below the poverty line according to the criteria prescribed by the Govt. of India﻿,"Death Certificate of husband – With the name of the surviving wife(widow). | BPL Card. | Age Proof - For age, the birth certificate or school certificate may be relied on. In their absence ration card and EPIC may be considered. If there is no valid document, any Medical Officer of any government hospital may be authorized to issue the age certificate.",Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/ignwps,female
SO03,Paramparagat Krishi Vikas Yojana,Ministry of Agriculture & Farmers Welfare ﻿ Step 04: Funds released to states by centre ﻿ Step 05: F,Social Security,0,120,"The Paramparagat Krishi Vikas Yojana (PKVY), launched in 2015, is an extended component of Soil Health Management (SHM) under the Centrally Sponsored Scheme (CSS), National Mission on Sustainable Agriculture (NMSA).","EligibilityAll farmers/institutions are eligible to apply. However, maximum land holding is 2 hectare",Aadhaar card | Caste certificate | Land ownership documents | Passport photo,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pkvy,any
SO04,Pradhan Mantri Jan Dhan Yojana,Ministry of Electronics & IT () Government of India,Social Security,0,18,"A National Mission for Financial Inclusion (NMFI), namely, Pradhan Mantri Jan Dhan Yojana (PMJDY) was launched by the Prime Minister across the country on 28th August, 2014. It envisages to provide universal banking services for every unbanked adult in the country.","EligibilityThe applicant should be an Indian National.If minors above ten years apply, they will require support from their legal guardians for administering their PMJDY account.",Aadhaar card | Caste certificate | Passport photo,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pmjdy,any
SO05,Pradhan Mantri Jeevan Jyoti Bima Yojana,Ministry of Electronics & IT () Government of India,Social Security,18,50,"Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) is an insurance scheme offering life insurance cover for death due to any reason. It is a one-year cover, renewable from year to year. The scheme is offered by banks/post offices and administered through life insurance companies.",EligibilityThe age of the applicant must be between 18 to 50 Years.The applicant must hold an individual bank / post office account.,Aadhaar card | Caste certificate | Bank passbook | Passport photo,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pmjjby,any
SO06,Pradhan Mantri Suraksha Bima Yojana,Ministry of Electronics & IT () Government of India,Social Security,0,120,An Accident Insurance Scheme offering accidental death and disability cover for death or disability on account of an accident.,"EligibilityIndividual bank account holders of participating banks aged between 18 years (completed) and 70 years (age nearer birthday) who give their consent to join / enable auto-debit, will be enrolled into the scheme.",Aadhaar card | Caste certificate | Bank passbook | Passport photo,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pmsby,any
SO07,Atal Pension Yojana,Ministry of Electronics & IT () Government of India,Social Security,18,40,"Atal Pension Yojana (APY) is an old age income security scheme for a savings account holder in the age group of 18-40 years, who is not an income tax-payee. It helps to address longevity risks among workers in unorganized sector and encourages the workers to voluntarily save for retirement.","EligibilityAge of joining and contribution periodThe minimum age of joining APY is 18 years and maximum is 40 years.The age of exit and start of pension is 60 years.Subscriber contribution to APY shall be made through the facility of ‘auto-debit’ of the prescribed contribution amount from the savings bank account of the subscriber on monthly, quarterly or half-yearly basis.The subscribers are required to contribute the prescribed contribution amount from the age of joining APY till the age of 60",Aadhaar card | Caste certificate | Bank passbook | Passport photo,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/apy,any
SO08,Senior Citizens Saving Scheme,Ministry of Electronics & IT () Government of India,Social Security,55,60,"Introduced in 2004 by the Govt. of India, SCSS offers a steady stream of income for individuals over 60 years old. As it is a government-backed scheme, there is minimal risk associated with SCSS. Individuals can apply for this scheme in post offices and public and private banks.",EligibilityIndian citizens above the age of 60 yearsRetirees in the age bracket of 55-60 years who have opted for Voluntary Retirement Scheme (VRS) or Superannuation*Retired defense personnel above 50 years and below 60 years of age*﻿(*Investment must be made within a month of availing the retirement benefits.),"KYC Documents: Aadhaar Card, Voter ID Card, PAN Card, Passport | Utility Bills: Telephone bill, Electricity bill | Senior Citizen Card or Birth Certificate (Case Specific) | 2 passport-size photographs",Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/scss,any
SO09,Raah-Veer Yojana,Ministry of Road Transport and Highways (MoRTH). The MoRTH Evaluation Committee selects the top 10 R,Social Security,0,120,"The scheme encourages citizens to help road accident victims during emergencies by providing a ₹25,000 incentive to individuals who save lives through timely medical assistance.","EligibilityThe applicant should be a resident of Madhya Pradesh.The applicant should be any individual (citizen or resident) who voluntarily assists a road accident victim in a motor vehicle-related accident.The applicant must have helped the victim reach a hospital within the Golden Hour, ensuring the victim’s survival.﻿","Acknowledgment Slip from Police Station (Issued on official letterhead, containing details of the Rah-Veer, date, time, location, and assistance provided) | Verification Report from the Hospital/Doctor (Confirming that the victim was brought for treatment within the Golden Hour) | Identity Proof | Bank Account Details | Mobile Number | Address Proof",Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/rvy,any
SO10,Venture Capital Fund for Scheduled Castes,"Ministry of Social Justice and Empowerment, Ministry of Social Justice and Empowerment, Government o",Social Security,0,120,"The scheme aims to promote entrepreneurship among Scheduled Caste individuals by providing concessional finance. Benefits include investment ranging from ₹10,00,000/- to ₹15,00,00,000/- as debt or equity for eligible Private Limited or Public Limited companies.","EligibilityThe projects/units being set up in manufacturing, services and allied sector, including start-ups and units being incubated in the technology business incubators, ensuring asset creation out of the funds deployed in the unit shall be considered.﻿For Companies Applying for Assistance up to ₹50,00,000/-Companies having:a. at least 51% shareholding by Scheduled Castes entrepreneurs for the past 6 months with management control OR;b. a new Company provided that the new Company is a succes",Caste Certificate. | Detailed Project Report (To Be Prepared And Submitted By The Company/Its Promoters). | Documentary Proofs / Certificate From the Incubation Centers/corporates (For Technology Oriented Innovative Projects With Support Of Incubation Centers). | Documents Regarding Patent/copyrights in the Name of the SC Entrepreneur (For Technology Oriented Innovative Projects Without Support Of Incubation Centers). | Sanction Letter (For Projects Sanctioned By Departments Of Government Of India Or In Cases Where Government Subsidy Is Available).,Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/vcf-sc,any
WO01,Pradhan Mantri Matru Vandana Yojana,Ministry of Women and Child Development Pradhan Mantri Matru Vandana Yojana Cash Incentive Financial,Women & Child,0,2,"The scheme is to provide maternity benefits to women belonging to socially and economically disadvantaged sections of society. For first child the maternity benefit of ₹5,000 is provided in two instalments under PMMVY and second child, it is ₹6,000 is to be provided subject to second child is girl.","EligibilityThe applicant should be of at least 19 years old and a pregnant women.The applicant should be employed and experiencing wage-loss due to the pregnancy.The scheme is applicable only for the first live birth.Eligible beneficiary can apply for the benefit under PMMVY scheme within 270 days from the child birth. If a beneficiary delivers twins/ triplets/ quadruplets in her second pregnancy, with one or more children being girl, she will receive incentive for second girl child as per the P","Aadhaar card, | Aadhaar mapped bank/post office, | Bank account details, | Eligibility proof, | MCP/RCHI card, | LMP date,",Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pmmvy,female
WO02,Pradhan Mantri Matsya Sampada Yojana,"Ministry of Fisheries,Animal Husbandry and Dairying Pradhan Mantri Matsya Sampada Yojana Agriculture",Women & Child,0,120,"Introduced by the Department of Fisheries, Pradhan Mantri Matsya Sampada Yojana (PMMSY) is a scheme to bring about ecologically healthy, economically viable, and socially inclusive development of the fisheries sector of India.",Eligibility1. Fishers.2. Fish Farmers.3. Fish Workers and Fish Vendors.4. Fisheries Development Corporations.5. Self Help Groups (SHGs)/joint Liability Groups (JLGs) in the Fisheries Sector.6. Fisheries Cooperatives.7. Fisheries Federations.8. Entrepreneurs and Private Firms.9. Fish Farmers Producer Organizations/companies (FFPOs/Cs).10. SCs/STs/Women/Differently Abled Persons.11. State Governments/UTs and Their Entities.12. State Fisheries Development Boards (SFDB).13. Central Government and It,"Aadhaar Card | PAN Card | Bank Account Details: | Business Registration Certificate | Project Report | Land Documents: Documents such as land lease agreements, land ownership documents, or NOC from the landowner are required if the project requires land.",Open year-round — visit myscheme.gov.in,https://www.myscheme.gov.in/schemes/pmmsy,any
