district,name,address,phone,type
Chennai,Amma Unavagam / Namma Chennai Kendra,"Ripon Building, Chennai – 600003",044-25384649,Citizen Service Centre
Chennai,MSME DIC – Chennai,"Anna Salai, Chennai – 600002",044-28521790,Employment / MSME
Hyderabad,"District Collectorate, Hyderabad","Hyderabad Collectorate, Nampally – 500001",040-24601124,Revenue / Collectorate
Hyderabad,MeeSeva Centre – Hyderabad,"Abids, Hyderabad",1800-425-1110,Citizen Service Centre
Hyderabad,Social Welfare Office,"Masab Tank, Hyderabad",040-23310044,Social Welfare
Lucknow,"District Collectorate, Lucknow","Collector Ganj, Civil Lines, Lucknow – 226001",0522-2610297,Revenue / Collectorate
Lucknow,Uttar Pradesh Seva Kendra,"Lalbagh, Lucknow",1800-180-5145,Citizen Service Centre
Lucknow,District Social Welfare Office,"Vidhan Sabha Marg, Lucknow",0522-2612234,Social Welfare
New Delhi,"Revenue Divisional Office, New Delhi","Tis Hazari Courts, Delhi – 110054",011-23890099,Revenue / Collectorate
New Delhi,Delhi Seva Kendra,"Pragati Maidan Area, New Delhi",011-23370011,Citizen Service Centre
New Delhi,Delhi Social Welfare Department,"GLNS Complex, ITO, New Delhi – 110002",011-23392012,Social Welfare
Kolkata,"District Collectorate, Kolkata","1 Kiran Shankar Roy Road, Kolkata – 700001",033-22480950,Revenue / Collectorate
Kolkata,Duare Sarkar Camp Centre,"Salt Lake Stadium, Sector V, Kolkata",1800-345-5555,Citizen Service Centre
Kolkata,District Social Welfare Officer,"Nizam Palace, AJC Bose Road, Kolkata",033-22813211,Social Welfare
Patna,"District Collectorate, Patna","Collectorate Building, Bailey Road, Patna – 800001",0612-2215561,Revenue / Collectorate
Patna,Lok Seva Kendra – Patna,"Near GPO, Fraser Road, Patna",1800-3456-145,Citizen Service Centre
Patna,District Social Welfare Office,"Dak Bunglow Road, Patna",0612-2226543,Social Welfare
Bhopal,"District Collectorate, Bhopal","Arera Hills, Bhopal – 462011",0755-2441600,Revenue / Collectorate
Bhopal,MP Lok Seva Kendra,"TT Nagar, Bhopal",1800-233-1956,Citizen Service Centre
Bhopal,District Social Welfare Office,"Shyamala Hills, Bhopal",0755-2660123,Social Welfare
Jaipur,"District Collectorate, Jaipur","Civil Lines, Jaipur – 302006",0141-2227421,Revenue / Collectorate
Jaipur,Jan Soochna Portal Helpdesk,"Secretariat, Jaipur",1800-180-6127,Citizen Service Centre
Jaipur,District Social Welfare Office,"Near Sanganer, Jaipur",0141-2703555,Social Welfare
Ahmedabad,"District Collectorate, Ahmedabad","Collectorate Campus, Dudheshwar – 380001",079-25505000,Revenue / Collectorate
Ahmedabad,Atal Seva Kendra / e-Gram Centre,"Bapunagar, Ahmedabad",1800-233-5500,Citizen Service Centre
Ahmedabad,District Social Defence Office,"Near Sola Civil Hospital, Ahmedabad",079-27455020,Social Welfare
Thiruvananthapuram,District Collectorate,"Collectorate Campus, Thiruvananthapuram – 695001",0471-2730870,Revenue / Collectorate
Thiruvananthapuram,Akshaya Centre,"Palayam, Thiruvananthapuram",0471-2332200,Citizen Service Centre
Thiruvananthapuram,District Social Welfare Office,"Vazhuthacaud, Thiruvananthapuram",0471-2725400,Social Welfare
DEFAULT,District Collectorate / DC Office,Contact local District Collector for exact address,1916 (Govt helpline),Revenue / Collectorate
DEFAULT,Common Service Centre (CSC),Nearest Gram Panchayat or CSC centre,1800-121-3468 (toll-free),Citizen Service Centre
DEFAULT,District Social Welfare Office,Near District HQ / Civil Lines area,Contact District Collector office,Social Welfare
