id,name,ministry,category,age_min,age_max,benefit,eligibility_text,documents,last_date,url,gender
E08,Pre-Matric Scholarship for ST Students,Ministry of Tribal Affairs,Education,9,18,Rs.150-250/month + hostel allowance for ST students in Classes 9-10,ST scheduled tribe student pre-matric scholarship 9 to 18 years school education tribal,ST caste certificate|Class 8 marksheet|Aadhaar card|Bank passbook|Income certificate,Apply on NSP portal by 31 October each year,https://www.myscheme.gov.in/schemes/pre-matric-scholarship-st,any
Y01,Post-Matric Scholarship for SC/ST/OBC,Ministry of Social Justice,Education,15,30,Full tuition + maintenance allowance for SC/ST/OBC students in Class 11 and above,SC ST OBC student post-matric scholarship 15 to 30 years college university higher education disadvantaged,Caste certificate (SC/ST/OBC)|Income certificate (below Rs.2.5 lakh)|Marksheet|Aadhaar card|Bank passbook|College/School enrolment letter,Apply on NSP portal by 30 November each year,https://www.myscheme.gov.in/schemes/post-matric-scholarship-sc-st,any
Y02,National Scholarship Portal — Minority,Ministry of Minority Affairs,Education,11,30,"Rs.500-12,000/year for minority community students",minority student scholarship Muslim Christian Sikh Buddhist 11 to 30 years education,Minority community certificate|Income certificate (below Rs.2 lakh)|Last marksheet|Aadhaar card|Bank passbook,Apply on NSP portal by 31 October each year,https://www.myscheme.gov.in/schemes/nsp-minority,any
Y03,PM Kaushal Vikas Yojana (PMKVY),Ministry of Skill Development,Employment & Skill,15,45,"Free skill training + Rs.8,000 reward in 300+ job roles across 40 sectors",youth skill training 15 to 45 years vocational certification employment job PMKVY,Aadhaar card|Educational qualification certificates|Bank passbook|Passport-size photographs|Residence proof,Enrolment open throughout year — apply at PMKVY training partner,https://www.myscheme.gov.in/schemes/pmkvy,any
Y04,DDU-GKY (Rural Skill Training),Ministry of Rural Development,Employment,15,35,Free placement-linked skill training for rural poor youth — guaranteed job placement,rural youth skill training 15 to 35 years employment job DDU-GKY poor family,Aadhaar card|BPL / income certificate|Educational proof|Bank passbook|Residence certificate,Apply at nearest RSETI / DDU-GKY training centre — rolling admissions,https://www.myscheme.gov.in/schemes/ddu-gky,any
Y06,Stand-Up India,Ministry of Finance,Employment,18,65,Bank loan Rs.10 lakh to Rs.1 crore for SC/ST women to set up greenfield enterprise,woman female SC ST entrepreneur loan 18 to 65 years startup business stand up india,Aadhaar card|Caste certificate (SC/ST) or Gender proof|Business plan|Bank account statement|Residence proof|Income certificate,Apply at nearest Scheduled Commercial Bank — no fixed deadline,https://www.myscheme.gov.in/schemes/sui,female
Y07,PM Mudra Yojana — Shishu,Ministry of Finance,Employment,18,65,"Collateral-free business loan up to Rs.50,000 for micro businesses",small business entrepreneur loan 18 to 65 years mudra shishu below 50000 self employed,Aadhaar card|Business registration / self-declaration|Bank passbook|Passport photos|Residence proof,Apply at bank / NBFC / MFI — open year-round,https://www.myscheme.gov.in/schemes/pmmy-shishu,any
Y08,PM Mudra Yojana — Kishore,Ministry of Finance,Employment,18,65,"Business loan Rs.50,001 to Rs.5 lakh for growing small businesses",small business entrepreneur loan 18 to 65 years mudra kishore 50000 to 5 lakh self employed,Aadhaar card|Business proof (GST/Udyam)|Bank statements (6 months)|Income certificate,Apply at bank — open year-round,https://www.myscheme.gov.in/schemes/pmmy-kishore,any
Y09,PM Mudra Yojana — Tarun,Ministry of Finance,Employment,18,65,Business loan Rs.5 lakh to Rs.10 lakh for established small businesses,business entrepreneur loan 18 to 65 years mudra tarun 5 lakh to 10 lakh self employed,Aadhaar card|Udyam / GST registration|Bank statements (12 months)|Business ownership proof,Apply at bank — open year-round,https://www.myscheme.gov.in/schemes/pmmy-tarun,any
Y11,PM SVANidhi (Street Vendor Loan),Ministry of Housing,Employment,18,65,"Working capital loan Rs.10,000 to Rs.50,000 for street vendors",street vendor hawker loan 18 to 65 years working capital SVANidhi urban vendor cart,Aadhaar card|Vending certificate / hawker licence|Bank passbook|Passport photos|Letter from ULB / TVC,Apply at nearest Urban Local Body / Bank — open year-round,https://www.myscheme.gov.in/schemes/pm-svanidhi,any
Y12,PM Vishwakarma Yojana,Ministry of MSME,Employment,18,60,"Rs.15,000 tool kit + Rs.3 lakh loan at 5% + free skill training for traditional artisans",artisan craftsman traditional skill 18 to 65 years vishwakarma tool kit training loan,Aadhaar card|Caste certificate (if SC/ST)|Trade/skill proof|Bank passbook|Passport photos,Apply at nearest District Industries Centre (DIC) — open year-round,https://www.myscheme.gov.in/schemes/pm-vishwakarma,any
W01,Pradhan Mantri Matru Vandana Yojana (PMMVY),Ministry of WCD,Women & Child,18,45,"Rs.5,000 cash incentive for first live birth — for pregnant and lactating mothers",pregnant woman first baby maternity cash incentive 18 to 45 years lactating mother nutrition PMMVY,Aadhaar card|Maternity / hospital registration card|Bank passbook (linked to Aadhaar)|LMP document,Register at Anganwadi/ASHA within first trimester,https://www.myscheme.gov.in/schemes/pmmvy,female
W02,Janani Shishu Suraksha Karyakram,Ministry of Health,Women & Child,18,45,"Free delivery, caesarean, medicines, diagnostics for pregnant women in government hospitals",pregnant woman delivery free hospital caesarean medicine 18 to 45 years government hospital,Aadhaar card|Pregnancy card|Residence proof,Register at nearest government hospital during pregnancy,https://www.myscheme.gov.in/schemes/jssk,female
W03,Sukanya Samriddhi Yojana,Ministry of Finance,Women & Child,0,10,High interest savings account (8.2% p.a.) for girl child — education and marriage,girl child daughter below 10 years savings account education marriage parent guardian,Girl child's birth certificate|Parent's Aadhaar|Residence proof (same state),Account must be opened before girl turns 10,https://www.myscheme.gov.in/schemes/ssy,female
W08,PM Ujjwala Yojana,Ministry of Petroleum,Women & Child,18,65,Free LPG connection + refill subsidy for BPL women — clean cooking fuel,BPL woman below poverty line LPG gas connection free cooking fuel 18 to 65 years,Aadhaar card|BPL ration card|Bank passbook|Passport photo,Apply at nearest LPG distributor — open year-round,https://www.myscheme.gov.in/schemes/pmuy,female
F01,PM Kisan Samman Nidhi,Ministry of Agriculture,Agriculture,18,80,"Rs.6,000/year direct bank transfer in 3 installments for small and marginal farmers",farmer kisan agricultural land 18 to 75 years income support PM kisan 6000 per year,Aadhaar card|Land records (Khasra/Khatauni)|Bank passbook|Residence certificate,Apply at PM Kisan portal or nearest CSC — open year-round,https://www.myscheme.gov.in/schemes/pm-kisan,any
F02,Kisan Credit Card (KCC),Ministry of Agriculture,Agriculture,18,75,Revolving credit up to Rs.3 lakh at 4% interest for crop production,farmer kisan agricultural land credit card loan 18 to 75 years crop cultivation,Aadhaar card|Land records|Bank passbook|Passport photos,Apply at any commercial/cooperative bank — open year-round,https://www.myscheme.gov.in/schemes/kcc,any
F03,PM Fasal Bima Yojana (PMFBY),Ministry of Agriculture,Agriculture,18,75,"Crop insurance at 2% premium (kharif), 1.5% (rabi) — natural calamities, pests, diseases",farmer kisan crop insurance 18 to 75 years fasal bima natural calamity flood drought,Aadhaar card|Land records (Khasra/7-12 extract)|Bank passbook|Sowing certificate|Loan account details (if any),Kharif: enrol by 31 July | Rabi: enrol by 31 December each year,https://www.myscheme.gov.in/schemes/pmfby,any
F09,PM Matsya Sampada Yojana,Ministry of Fisheries,Agriculture,18,65,"Subsidy for boats, nets, cold storage, fish feed for fishermen",fisherman fishing boat coastal marine 18 to 65 years fish farmer aquaculture,Aadhaar card|Fisherman identity card|Bank passbook|Residence proof,Apply at State Fisheries Department — open year-round,https://www.myscheme.gov.in/schemes/pmmsy,any
A01,Ayushman Bharat – PMJAY,Ministry of Health,Health,0,120,"Rs.5 lakh/year health insurance covering 1,949 procedures for BPL families",poor family health insurance 5 lakh Ayushman Bharat PMJAY BPL below poverty line hospital,Aadhaar card|Ration card / SECC data|Family ID proof,Apply at nearest Ayushman Bharat Seva Kendra — open year-round,https://www.myscheme.gov.in/schemes/pmjay,any
A02,PM Jan Dhan Yojana,Ministry of Finance,Financial,10,120,Zero-balance savings account + Rs.1 lakh accident insurance + RuPay card,adult 18 to 65 years bank account zero balance Jan Dhan financial inclusion unbanked,Aadhaar card|Passport photo|Address proof,Apply at any bank — open year-round,https://www.myscheme.gov.in/schemes/pmjdy,any
A03,PM Garib Kalyan Anna Yojana,Ministry of Consumer Affairs,Food Security,0,120,5 kg free food grain per person per month for BPL and NFSA beneficiaries,poor family free food grain ration BPL NFSA rice wheat Anna Yojana,NFSA/BPL ration card|Aadhaar card,Ongoing — collect at nearest PDS ration shop,https://www.myscheme.gov.in/schemes/pmgkay,any
A05,PM Jeevan Jyoti Bima Yojana,Ministry of Finance,Insurance,18,50,Rs.2 lakh life insurance cover at only Rs.436/year — renewable annually,adult male female 18 to 50 years life insurance 2 lakh premium PMJJBY,Aadhaar card|Bank account linked to Aadhaar|Age proof (18–50),Enrol via bank — auto-debit on 31 May each year,https://www.myscheme.gov.in/schemes/pmjjby,any
A06,PM Suraksha Bima Yojana,Ministry of Finance,Insurance,18,70,Rs.2 lakh accident insurance at only Rs.20/year,adult 18 to 70 years accident insurance 2 lakh premium PMSBY,Aadhaar card|Bank account linked to Aadhaar|Age proof (18–70),Enrol via bank — auto-debit on 1 June each year,https://www.myscheme.gov.in/schemes/pmsby,any
A07,Atal Pension Yojana,Ministry of Finance,Social Security,18,40,"Guaranteed pension Rs.1,000 to Rs.5,000/month after age 60",working adult 18 to 40 years pension retirement savings Atal pension yojana,Aadhaar card|Bank passbook|Mobile number,Apply at bank — open year-round (must be aged 18-40),https://www.myscheme.gov.in/schemes/apy,any
A08,MGNREGS (NREGA),Ministry of Rural Development,Employment,18,120,100 days guaranteed wage employment per year at minimum wage,rural adult 18 to 60 years unskilled manual labor 100 days employment MGNREGA NREGA job card,Aadhaar card|Residence proof (rural)|Bank passbook|Passport photo,Apply at Gram Panchayat — open year-round,https://www.myscheme.gov.in/schemes/mgnregs,any
A09,PM Awas Yojana — Gramin,Ministry of Rural Development,Housing,18,120,Rs.1.2 lakh grant for pucca house construction for homeless BPL families,rural poor family house BPL below poverty line PMAY gramin housing,Aadhaar card|BPL ration card|Bank passbook|Land ownership proof|SECC data,Apply at Gram Panchayat / Block Development Office,https://www.myscheme.gov.in/schemes/pmayg,any
A11,PM Jan Arogya Yojana — Ayushman Card,Ministry of Health,Health,0,120,Ayushman card for cashless treatment at empanelled hospitals,poor family health card Ayushman Bharat PMJAY hospital treatment free,Aadhaar card|Ration card / SECC data|Family ID proof,Apply at nearest CSC or Ayushman Bharat centre,https://www.myscheme.gov.in/schemes/pmjay,any
A15,PM Ujjwala Yojana 2.0,Ministry of Petroleum,Health,18,65,Free LPG gas connection + Rs.200/cylinder refill subsidy for BPL women,BPL woman LPG gas connection free cooking fuel subsidy 18 to 65 years poor migrant,Aadhaar card|BPL ration card|Bank passbook|Passport photo,Apply at nearest LPG distributor — open year-round,https://www.myscheme.gov.in/schemes/pmuy-2,female
SC01,Post-Matric Scholarship for SC Students,Ministry of Social Justice,Education,15,35,Full tuition fee + maintenance allowance for SC students Class 11 to PhD,SC scheduled caste student post-matric scholarship college university higher education,SC caste certificate|Income certificate (below Rs.2.5 lakh)|Last marksheet|Aadhaar card|Bank passbook|College enrolment letter,Apply on NSP portal by 30 November each year,https://www.myscheme.gov.in/schemes/post-matric-scholarship-sc,any
SC02,Post-Matric Scholarship for ST Students,Ministry of Tribal Affairs,Education,15,35,Full tuition + maintenance + hostel charges for ST students post-Class 10,ST scheduled tribe student post-matric scholarship college university higher education tribal,ST caste certificate|Income certificate|Last marksheet|Aadhaar card|Bank passbook,Apply on NSP portal by 30 November each year,https://www.myscheme.gov.in/schemes/post-matric-scholarship-st,any
D01,Divyangjan Scholarship Scheme,Ministry of Social Justice,Education,0,35,"Rs.500-Rs.2,000/month scholarship for disabled students",disabled divyang handicapped student scholarship 16 to 59 years education college,Disability certificate (40%+)|Aadhaar card|Income certificate (below Rs.2.5 lakh)|School/College enrolment letter|Bank passbook,Apply on NSP portal by 31 October each year,https://www.myscheme.gov.in/schemes/divyangjan-scholarship,any
D02,Assistance to Disabled Persons (ADIP),Ministry of Social Justice,Social Security,0,120,"Free assistive devices — hearing aids, wheelchairs, crutches, artificial limbs",disabled divyang handicapped person assistive device aid appliance 0 to 120 years,Disability certificate|Aadhaar card|Income certificate (below Rs.2 lakh)|Medical prescription for device,Apply at nearest ALIMCO camp / NHFDC — camps held periodically,https://www.myscheme.gov.in/schemes/adip,any
S01,National Old Age Pension (NSAP),Ministry of Rural Development,Social Security,60,120,Rs.200-500/month pension for BPL elderly persons aged 60 and above,senior citizen elderly 60 to 120 years old age pension BPL poor NSAP,Aadhaar card|BPL ration card|Age proof (60+)|Bank passbook|Residence certificate,Apply at Gram Panchayat / Urban Local Body — open year-round,https://www.myscheme.gov.in/schemes/ignoaps,any
S02,Indira Gandhi National Old Age Pension,Ministry of Rural Development,Social Security,60,120,Rs.200/month (60-79 yrs) and Rs.500/month (80+ yrs) for BPL elderly,senior citizen elderly 60 to 120 years old age pension BPL Indira Gandhi NSAP,Aadhaar card|BPL certificate|Age proof (60+)|Bank passbook linked to Aadhaar,Apply at Gram Panchayat or Block Development Office — open year-round,https://www.myscheme.gov.in/schemes/ignoaps,any
S04,Senior Citizen Savings Scheme (SCSS),Ministry of Finance,Social Security,60,120,High interest savings (8.2% p.a.) for senior citizens — invest up to Rs.30 lakh,senior citizen 60 to 120 years savings fixed deposit high interest rate SCSS post office,Aadhaar card|PAN card|Age proof|Bank passbook or post office account,Open year-round at any bank or post office,https://www.myscheme.gov.in/schemes/scss,any
S06,Rashtriya Vayoshri Yojana,Ministry of Social Justice,Social Security,60,120,"Free assistive devices for BPL senior citizens — hearing aids, walking sticks, wheelchairs",senior citizen elderly 60 to 120 years assistive device walking stick wheel chair hearing aid,Aadhaar card|BPL certificate|Age proof (60+)|Medical prescription (for device),Apply at District Social Welfare Office — camps held periodically,https://www.myscheme.gov.in/schemes/rashtriya-vayoshri-yojana,any
S08,National Programme for Health Care of Elderly,Ministry of Health,Health,60,120,Free geriatric health care services at district hospitals,senior citizen elderly 60 to 120 years health care geriatric free treatment hospital,Aadhaar card|Age proof (60+)|Health card / ABHA card (if any),Ongoing — visit district/sub-district hospital's geriatric OPD,https://www.myscheme.gov.in/schemes/nphce,any
WD01,Indira Gandhi National Widow Pension,Ministry of Rural Development,Social Security,40,120,Rs.300-500/month pension for widows aged 40-79 from BPL families,widow woman BPL below poverty line 40 to 79 years pension financial support destitute,Death certificate of husband|Aadhaar card|BPL ration card|Age proof (40+)|Bank passbook,Apply at Gram Panchayat / Urban Local Body — open year-round,https://www.myscheme.gov.in/schemes/ignwps,female
B03,Unorganised Workers Social Security Scheme,Ministry of Labour,Social Security,18,60,"Health insurance, life insurance, old age protection via e-Shram portal",unorganised worker 18 to 60 years informal sector social security labor welfare,Aadhaar card|Bank passbook|Occupation self-declaration|e-Shram portal registration,Register at eshram.gov.in or nearest CSC — open year-round,https://www.myscheme.gov.in/schemes/unorganised-workers-social-security,any
B04,e-Shram Card Registration,Ministry of Labour,Social Security,16,59,"e-Shram UAN card — Rs.2 lakh accident insurance, access to all social security schemes",unorganised worker 18 to 60 years e-shram card registration informal labor welfare,Aadhaar card (mobile linked)|Bank passbook|Self-employment / occupation declaration,Register at eshram.gov.in or nearest CSC — open year-round,https://www.myscheme.gov.in/schemes/e-shram,any
I01,PM Fasal Bima Yojana,Ministry of Agriculture,Insurance,18,75,"Crop insurance covering natural disasters, pests, diseases",farmer kisan crop insurance 18 to 75 years fasal bima flood drought natural calamity,Aadhaar card|Land records (Khasra/7-12 extract)|Bank passbook|Sowing certificate|Loan account details (if any),Kharif: enrol by 31 July | Rabi: enrol by 31 December each year,https://www.myscheme.gov.in/schemes/pmfby,any
